loan_id,business_id,credit_officer_id,acquisition_channel,sector,principal,total_owing_at_issue,application_number,applying_for_loan_number,loan_number,employee_count,approval_status,paid_late,total_recovered_on_time,total_recovered_15_dpd,cash_yield_15_dpd,repayment_duration_days,Target
937621,645363,201649.0,Friend,Mobile Money Airtime,618200.0,693100.0,2,2,2.0,,Approved,False,693100.0,693100.0,74900.0,0,0
962191,645363,201649.0,Friend,Mobile Money Airtime,675000.0,756600.0,3,3,3.0,,Approved,False,756600.0,756600.0,81600.0,0,0
938747,387101,131450.0,Friend,Mobile Money Airtime,230000.0,264900.0,5,1,1.0,1.0,Approved,False,264900.0,264900.0,34900.0,29,0
967798,387101,131450.0,Friend,Mobile Money Airtime,253000.0,291300.0,6,2,2.0,1.0,Approved,False,291300.0,291300.0,38300.0,12,0
981251,690844,245781.0,Friend,Beauty Fashion,370000.0,426000.0,1,1,1.0,,Approved,False,426000.0,426000.0,56000.0,0,0
933864,656168,279289.0,Friend,Hospitality,300000.0,354600.0,1,1,1.0,,Approved,False,354600.0,354600.0,54600.0,29,0
962138,656168,279289.0,Friend,Hospitality,330000.0,380000.0,2,2,2.0,,Approved,False,380000.0,380000.0,50000.0,0,0
698939,418816,137994.0,Facebook,Manufacturing,230000.0,271400.0,2,1,1.0,0.0,Approved,False,271400.0,271400.0,41400.0,13,0
735058,418816,137994.0,Facebook,Manufacturing,200000.0,236000.0,3,2,2.0,0.0,Approved,False,236000.0,236000.0,36000.0,6,0
768004,418816,131449.0,Facebook,Manufacturing,250000.0,295500.0,4,3,3.0,0.0,Approved,False,295500.0,295500.0,45500.0,17,0
800781,418816,131449.0,Facebook,Manufacturing,306100.0,349300.0,5,4,4.0,0.0,Approved,False,349300.0,349300.0,43200.0,3,0
830953,418816,131449.0,Facebook,Manufacturing,300000.0,342400.0,6,5,5.0,0.0,Approved,False,342400.0,342400.0,42400.0,4,0
866705,418816,131449.0,Facebook,Manufacturing,250000.0,285300.0,7,6,6.0,0.0,Approved,False,285300.0,285300.0,35300.0,0,0
896024,418816,131449.0,Facebook,Manufacturing,300000.0,342400.0,8,7,7.0,0.0,Approved,False,342400.0,342400.0,42400.0,0,0
923977,418816,131449.0,Facebook,Manufacturing,448100.0,511500.0,9,8,8.0,0.0,Approved,False,511500.0,511500.0,63400.0,3,0
953386,418816,131449.0,Facebook,Manufacturing,350000.0,399500.0,10,9,9.0,0.0,Approved,False,399500.0,399500.0,49500.0,7,0
256990,221924,131450.0,Google,Stationary Printing,216000.0,253200.0,1,1,1.0,2.0,Approved,False,253200.0,253200.0,37200.0,0,0
301019,221924,131450.0,Google,Stationary Printing,237600.0,278500.0,2,2,2.0,2.0,Approved,False,278500.0,278500.0,40900.0,0,0
334244,221924,131450.0,Google,Stationary Printing,261400.0,306300.0,3,3,3.0,2.0,Approved,False,306300.0,306300.0,44900.0,0,0
365246,221924,131450.0,Google,Stationary Printing,287500.0,337000.0,4,4,4.0,2.0,Approved,False,337000.0,337000.0,49500.0,0,0
405954,221924,131450.0,Google,Stationary Printing,280000.0,328200.0,6,5,5.0,2.0,Approved,False,328200.0,328200.0,48200.0,0,0
442970,221924,131450.0,Google,Stationary Printing,100000.0,117200.0,7,6,6.0,2.0,Approved,False,117200.0,117200.0,17200.0,0,0
448298,221924,131450.0,Google,Stationary Printing,300000.0,336400.0,8,7,7.0,2.0,Approved,False,336400.0,336400.0,36400.0,0,0
484633,221924,131450.0,Google,Stationary Printing,300000.0,336400.0,9,8,8.0,2.0,Approved,False,336400.0,336400.0,36400.0,0,0
518588,221924,131450.0,Google,Stationary Printing,426100.0,481200.0,10,9,9.0,2.0,Approved,False,481200.0,481200.0,55100.0,0,0
550485,221924,131450.0,Google,Stationary Printing,450000.0,508100.0,11,10,10.0,2.0,Approved,False,508100.0,508100.0,58100.0,0,0
583786,221924,131450.0,Google,Stationary Printing,100000.0,112900.0,12,11,11.0,2.0,Approved,False,112900.0,112900.0,12900.0,0,0
621986,221924,131450.0,Google,Stationary Printing,250000.0,282300.0,13,12,12.0,2.0,Approved,False,282300.0,282300.0,32300.0,0,0
661750,221924,131450.0,Google,Stationary Printing,350000.0,395200.0,14,13,13.0,2.0,Approved,False,395200.0,395200.0,45200.0,0,0
692519,221924,131450.0,Google,Stationary Printing,400000.0,451700.0,15,14,14.0,2.0,Approved,False,451700.0,451700.0,51700.0,0,0
726763,221924,131450.0,Google,Stationary Printing,350000.0,395200.0,16,15,15.0,2.0,Approved,False,395200.0,395200.0,45200.0,0,0
759089,221924,131450.0,Google,Stationary Printing,400000.0,451700.0,17,16,16.0,2.0,Approved,False,451700.0,451700.0,51700.0,0,0
804373,221924,131450.0,Google,Stationary Printing,500000.0,565600.0,18,17,17.0,2.0,Approved,False,565600.0,565600.0,65600.0,0,0
849268,221924,131450.0,Google,Stationary Printing,400000.0,452500.0,19,18,18.0,2.0,Approved,False,452500.0,452500.0,52500.0,0,0
883556,221924,131450.0,Google,Stationary Printing,400000.0,452500.0,20,19,19.0,2.0,Approved,False,452500.0,452500.0,52500.0,0,0
923424,221924,131450.0,Google,Stationary Printing,700000.0,791700.0,21,20,20.0,2.0,Approved,False,791700.0,791700.0,91700.0,0,0
954198,221924,131450.0,Google,Stationary Printing,100000.0,113100.0,22,21,21.0,2.0,Approved,False,113100.0,113100.0,13100.0,0,0
959771,221924,131450.0,Google,Stationary Printing,920000.0,1040100.0,23,22,22.0,2.0,Approved,False,1040100.0,1040100.0,120100.0,0,0
256990,221924,131450.0,Google,Stationary Printing,216000.0,253200.0,1,1,1.0,2.0,Approved,False,253200.0,253200.0,37200.0,0,0
301019,221924,131450.0,Google,Stationary Printing,237600.0,278500.0,2,2,2.0,2.0,Approved,False,278500.0,278500.0,40900.0,0,0
334244,221924,131450.0,Google,Stationary Printing,261400.0,306300.0,3,3,3.0,2.0,Approved,False,306300.0,306300.0,44900.0,0,0
365246,221924,131450.0,Google,Stationary Printing,287500.0,337000.0,4,4,4.0,2.0,Approved,False,337000.0,337000.0,49500.0,0,0
405954,221924,131450.0,Google,Stationary Printing,280000.0,328200.0,6,5,5.0,2.0,Approved,False,328200.0,328200.0,48200.0,0,0
442970,221924,131450.0,Google,Stationary Printing,100000.0,117200.0,7,6,6.0,2.0,Approved,False,117200.0,117200.0,17200.0,0,0
448298,221924,131450.0,Google,Stationary Printing,300000.0,336400.0,8,7,7.0,2.0,Approved,False,336400.0,336400.0,36400.0,0,0
484633,221924,131450.0,Google,Stationary Printing,300000.0,336400.0,9,8,8.0,2.0,Approved,False,336400.0,336400.0,36400.0,0,0
518588,221924,131450.0,Google,Stationary Printing,426100.0,481200.0,10,9,9.0,2.0,Approved,False,481200.0,481200.0,55100.0,0,0
550485,221924,131450.0,Google,Stationary Printing,450000.0,508100.0,11,10,10.0,2.0,Approved,False,508100.0,508100.0,58100.0,0,0
583786,221924,131450.0,Google,Stationary Printing,100000.0,112900.0,12,11,11.0,2.0,Approved,False,112900.0,112900.0,12900.0,0,0
621986,221924,131450.0,Google,Stationary Printing,250000.0,282300.0,13,12,12.0,2.0,Approved,False,282300.0,282300.0,32300.0,0,0
661750,221924,131450.0,Google,Stationary Printing,350000.0,395200.0,14,13,13.0,2.0,Approved,False,395200.0,395200.0,45200.0,0,0
692519,221924,131450.0,Google,Stationary Printing,400000.0,451700.0,15,14,14.0,2.0,Approved,False,451700.0,451700.0,51700.0,0,0
726763,221924,131450.0,Google,Stationary Printing,350000.0,395200.0,16,15,15.0,2.0,Approved,False,395200.0,395200.0,45200.0,0,0
759089,221924,131450.0,Google,Stationary Printing,400000.0,451700.0,17,16,16.0,2.0,Approved,False,451700.0,451700.0,51700.0,0,0
804373,221924,131450.0,Google,Stationary Printing,500000.0,565600.0,18,17,17.0,2.0,Approved,False,565600.0,565600.0,65600.0,0,0
849268,221924,131450.0,Google,Stationary Printing,400000.0,452500.0,19,18,18.0,2.0,Approved,False,452500.0,452500.0,52500.0,0,0
883556,221924,131450.0,Google,Stationary Printing,400000.0,452500.0,20,19,19.0,2.0,Approved,False,452500.0,452500.0,52500.0,0,0
923424,221924,131450.0,Google,Stationary Printing,700000.0,791700.0,21,20,20.0,2.0,Approved,False,791700.0,791700.0,91700.0,0,0
954198,221924,131450.0,Google,Stationary Printing,100000.0,113100.0,22,21,21.0,2.0,Approved,False,113100.0,113100.0,13100.0,0,0
959771,221924,131450.0,Google,Stationary Printing,920000.0,1040100.0,23,22,22.0,2.0,Approved,False,1040100.0,1040100.0,120100.0,0,0
992142,221924,131450.0,Google,Stationary Printing,700000.0,791700.0,24,23,23.0,2.0,Approved,False,791700.0,791700.0,91700.0,0,0
614150,439263,309549.0,Friend,Phones Electronics,260000.0,290900.0,1,1,1.0,3.0,Approved,False,290900.0,290900.0,30900.0,22,0
643232,439263,309549.0,Friend,Phones Electronics,280000.0,313300.0,2,2,2.0,3.0,Approved,False,313300.0,313300.0,33300.0,0,0
669443,439263,309549.0,Friend,Phones Electronics,300000.0,335700.0,3,3,3.0,3.0,Approved,False,335700.0,335700.0,35700.0,7,0
703165,439263,309549.0,Friend,Phones Electronics,270000.0,302100.0,4,4,4.0,3.0,Approved,False,302100.0,302100.0,32100.0,0,0
733096,439263,309549.0,Friend,Phones Electronics,280000.0,313300.0,5,5,5.0,3.0,Approved,False,313300.0,313300.0,33300.0,0,0
758781,439263,295227.0,Friend,Phones Electronics,300000.0,335700.0,6,6,6.0,3.0,Approved,False,335700.0,335700.0,35700.0,0,0
788914,439263,295227.0,Friend,Phones Electronics,300000.0,336300.0,7,7,7.0,3.0,Approved,False,336300.0,336300.0,36300.0,0,0
818520,439263,295227.0,Friend,Phones Electronics,300000.0,336300.0,8,8,8.0,3.0,Approved,False,336300.0,336300.0,36300.0,0,0
849393,439263,295227.0,Friend,Phones Electronics,300000.0,336300.0,9,9,9.0,3.0,Approved,False,336300.0,336300.0,36300.0,0,0
879540,439263,295227.0,Friend,Phones Electronics,320000.0,358700.0,10,10,10.0,3.0,Approved,False,358700.0,358700.0,38700.0,0,0
906441,439263,295227.0,Friend,Phones Electronics,380000.0,426000.0,11,11,11.0,3.0,Approved,False,426000.0,426000.0,46000.0,0,0
936188,439263,295227.0,Friend,Phones Electronics,400000.0,460600.0,12,12,12.0,3.0,Approved,False,460600.0,460600.0,60600.0,0,0
963176,439263,295227.0,Friend,Phones Electronics,400000.0,460600.0,13,13,13.0,3.0,Approved,False,460600.0,460600.0,60600.0,0,0
924988,649930,131450.0,Friend,Food Staple Goods,276000.0,317800.0,1,1,1.0,,Approved,False,317800.0,317800.0,41800.0,29,0
955577,649930,131450.0,Friend,Food Staple Goods,303600.0,349600.0,2,2,2.0,,Approved,False,349600.0,349600.0,46000.0,16,0
732881,512735,395019.0,Radio / TV / Newspaper,Beauty Fashion,230000.0,257400.0,1,1,1.0,3.0,Approved,False,257400.0,257400.0,27400.0,0,0
767918,512735,395019.0,Radio / TV / Newspaper,Beauty Fashion,253000.0,283600.0,2,2,2.0,3.0,Approved,False,283600.0,283600.0,30600.0,0,0
790412,512735,395019.0,Radio / TV / Newspaper,Beauty Fashion,274000.0,307100.0,3,3,3.0,3.0,Approved,False,307100.0,307100.0,33100.0,0,0
825191,512735,395019.0,Radio / TV / Newspaper,Beauty Fashion,301400.0,337800.0,4,4,4.0,3.0,Approved,False,337800.0,337800.0,36400.0,0,0
858304,512735,395019.0,Radio / TV / Newspaper,Beauty Fashion,331500.0,371600.0,5,5,5.0,3.0,Approved,False,371600.0,371600.0,40100.0,0,0
901388,512735,395019.0,Radio / TV / Newspaper,Beauty Fashion,364600.0,408800.0,6,6,6.0,3.0,Approved,True,0.0,408800.0,44200.0,0,1
933331,512735,137987.0,Radio / TV / Newspaper,Beauty Fashion,401100.0,457800.0,7,7,7.0,3.0,Approved,False,457800.0,457800.0,56700.0,0,0
965152,512735,137987.0,Radio / TV / Newspaper,Beauty Fashion,401100.0,457800.0,8,8,8.0,3.0,Approved,False,457800.0,457800.0,56700.0,7,0
730897,511494,245779.0,Friend,Mobile Money Airtime,200000.0,223800.0,1,1,1.0,1.0,Approved,False,223800.0,223800.0,23800.0,26,0
759110,511494,245779.0,Friend,Mobile Money Airtime,219500.0,245700.0,2,2,2.0,1.0,Approved,False,245700.0,245700.0,26200.0,0,0
788559,511494,245779.0,Friend,Mobile Money Airtime,241400.0,270600.0,3,3,3.0,1.0,Approved,False,270600.0,270600.0,29200.0,0,0
935454,511494,245779.0,Friend,Mobile Money Airtime,265500.0,297700.0,4,4,4.0,1.0,Approved,False,297700.0,297700.0,32200.0,0,0
971001,511494,245779.0,Friend,Mobile Money Airtime,292000.0,327400.0,5,5,5.0,1.0,Approved,False,327400.0,327400.0,35400.0,0,0
705749,494191,320434.0,Friend,Beauty Fashion,300000.0,335700.0,1,1,1.0,1.0,Approved,False,335700.0,335700.0,35700.0,0,0
734836,494191,320434.0,Friend,Beauty Fashion,330000.0,369300.0,2,2,2.0,1.0,Approved,False,369300.0,369300.0,39300.0,0,0
768746,494191,279289.0,Friend,Beauty Fashion,363000.0,406900.0,3,3,3.0,1.0,Approved,False,406900.0,406900.0,43900.0,0,0
799639,494191,279289.0,Friend,Beauty Fashion,390000.0,437200.0,4,4,4.0,1.0,Approved,False,437200.0,437200.0,47200.0,0,0
835271,494191,279289.0,Friend,Beauty Fashion,400000.0,448400.0,5,5,5.0,1.0,Approved,False,448400.0,448400.0,48400.0,0,0
869012,494191,279289.0,Friend,Beauty Fashion,480000.0,538200.0,6,6,6.0,1.0,Approved,False,538200.0,538200.0,58200.0,0,0
899511,494191,279289.0,Friend,Beauty Fashion,530000.0,594200.0,7,7,7.0,1.0,Approved,False,594200.0,594200.0,64200.0,0,0
927878,494191,279289.0,Friend,Beauty Fashion,584500.0,655200.0,8,8,8.0,1.0,Approved,False,655200.0,655200.0,70700.0,0,0
958804,494191,279289.0,Friend,Beauty Fashion,640000.0,717500.0,9,9,9.0,1.0,Approved,False,717500.0,717500.0,77500.0,0,0
440182,337433,137994.0,Friend,Mobile Money Airtime,345600.0,384100.0,1,1,1.0,3.0,Approved,False,384100.0,384100.0,38500.0,29,0
506398,337433,137994.0,Friend,Mobile Money Airtime,380200.0,422500.0,2,2,2.0,3.0,Approved,False,422500.0,422500.0,42300.0,0,0
534257,337433,137994.0,Friend,Mobile Money Airtime,418200.0,468000.0,3,3,3.0,3.0,Approved,False,468000.0,468000.0,49800.0,0,0
565140,337433,137994.0,Friend,Mobile Money Airtime,460000.0,514800.0,4,4,4.0,3.0,Approved,False,514800.0,514800.0,54800.0,0,0
594041,337433,137994.0,Friend,Mobile Money Airtime,506000.0,566200.0,5,5,5.0,3.0,Approved,False,566200.0,566200.0,60200.0,0,0
625231,337433,137994.0,Friend,Mobile Money Airtime,556600.0,622900.0,6,6,6.0,3.0,Approved,False,622900.0,622900.0,66300.0,0,0
658542,337433,137994.0,Friend,Mobile Money Airtime,612300.0,685200.0,7,7,7.0,3.0,Approved,False,685200.0,685200.0,72900.0,0,0
689602,337433,137994.0,Friend,Mobile Money Airtime,673500.0,753700.0,8,8,8.0,3.0,Approved,False,753700.0,753700.0,80200.0,0,0
719595,337433,137994.0,Friend,Mobile Money Airtime,740800.0,828800.0,9,9,9.0,3.0,Approved,False,828800.0,828800.0,88000.0,0,0
752543,337433,60425.0,Friend,Mobile Money Airtime,814900.0,911500.0,10,10,10.0,3.0,Approved,False,911500.0,911500.0,96600.0,0,0
793018,337433,60425.0,Friend,Mobile Money Airtime,855600.0,958700.0,11,11,11.0,3.0,Approved,False,958700.0,958700.0,103100.0,0,0
827234,337433,60425.0,Friend,Mobile Money Airtime,898400.0,1006500.0,12,12,12.0,3.0,Approved,False,1006500.0,1006500.0,108100.0,0,0
860346,337433,60425.0,Friend,Mobile Money Airtime,943300.0,1056800.0,13,13,13.0,3.0,Approved,False,1056800.0,1056800.0,113500.0,0,0
908060,337433,60425.0,Friend,Mobile Money Airtime,1000000.0,1120300.0,14,14,14.0,3.0,Approved,False,1120300.0,1120300.0,120300.0,0,0
939580,337433,60425.0,Friend,Mobile Money Airtime,1100000.0,1243300.0,15,15,15.0,3.0,Approved,False,1243300.0,1243300.0,143300.0,0,0
974224,337433,60425.0,Friend,Mobile Money Airtime,1210000.0,1367500.0,16,16,16.0,3.0,Approved,False,1367500.0,1367500.0,157500.0,0,0
553017,112376,245781.0,Other,Food Staple Goods,200000.0,223800.0,1,1,1.0,0.0,Approved,False,223800.0,223800.0,23800.0,27,0
582883,112376,245781.0,Other,Food Staple Goods,246100.0,275400.0,2,2,2.0,0.0,Approved,False,275400.0,275400.0,29300.0,11,0
616603,112376,245781.0,Other,Food Staple Goods,305100.0,341400.0,3,3,3.0,0.0,Approved,False,341400.0,341400.0,36300.0,22,0
648721,112376,245781.0,Other,Food Staple Goods,376700.0,421600.0,4,4,4.0,0.0,Approved,False,421600.0,421600.0,44900.0,2,0
681327,112376,245781.0,Other,Food Staple Goods,414400.0,463700.0,5,5,5.0,0.0,Approved,False,463700.0,463700.0,49300.0,0,0
711663,112376,245781.0,Other,Food Staple Goods,414400.0,463700.0,6,6,6.0,0.0,Approved,False,463700.0,463700.0,49300.0,17,0
745755,112376,245781.0,Other,Food Staple Goods,455800.0,510100.0,7,7,7.0,0.0,Approved,False,510100.0,510100.0,54300.0,8,0
