loan_id,principal,total_owing_at_issue,application_number,applying_for_loan_number,loan_number,employee_count,total_recovered_on_time,total_recovered_15_dpd,cash_yield_15_dpd,acquisition_channel,sector,applying_for_loan_number,approval_status,paid_late,repayment_duration_days,Target
962825,60000.0,67200.0,3,3,3.0,,67200.0,67200.0,7200.0,Facebook,Food Staple Goods,3,Approved,False,0.0,0
972467,392000.0,439500.0,4,4,4.0,,439500.0,439500.0,47500.0,Facebook,Food Staple Goods,4,Approved,False,20.0,0
698597,260000.0,298900.0,1,1,1.0,2.0,298900.0,298900.0,38900.0,Friend,Phones Electronics,1,Approved,False,30.0,0
732359,286000.0,320000.0,2,2,2.0,2.0,320000.0,320000.0,34000.0,Friend,Phones Electronics,2,Approved,False,7.0,0
763669,348800.0,391100.0,3,3,3.0,2.0,391100.0,391100.0,42300.0,Friend,Phones Electronics,3,Approved,False,12.0,0
796736,536000.0,600900.0,4,4,4.0,2.0,600900.0,600900.0,64900.0,Friend,Phones Electronics,4,Approved,False,1.0,0
830422,857600.0,961000.0,5,5,5.0,2.0,961000.0,961000.0,103400.0,Friend,Phones Electronics,5,Approved,False,0.0,0
863829,850000.0,952400.0,6,6,6.0,2.0,952400.0,952400.0,102400.0,Friend,Phones Electronics,6,Approved,False,0.0,0
892757,1200000.0,1344000.0,7,7,7.0,2.0,1344000.0,1344000.0,144000.0,Friend,Phones Electronics,7,Approved,False,0.0,0
920037,1530600.0,1713900.0,8,8,8.0,2.0,1713900.0,1713900.0,183300.0,Friend,Phones Electronics,8,Approved,False,0.0,0
950509,1607100.0,1799400.0,9,9,9.0,2.0,1799400.0,1799400.0,192300.0,Friend,Phones Electronics,9,Approved,False,0.0,0
981077,1687500.0,1889400.0,10,10,10.0,2.0,1889400.0,1889400.0,201900.0,Friend,Phones Electronics,10,Approved,False,0.0,0
764915,700000.0,827300.0,1,1,1.0,1.0,827300.0,827300.0,127300.0,Friend,Mobile Money Airtime,1,Approved,False,30.0,0
799053,714000.0,822000.0,2,2,2.0,1.0,822000.0,822000.0,108000.0,Friend,Mobile Money Airtime,2,Approved,False,0.0,0
831310,714000.0,822000.0,3,3,3.0,1.0,822000.0,822000.0,108000.0,Friend,Mobile Money Airtime,3,Approved,False,0.0,0
865344,785400.0,904100.0,4,4,4.0,1.0,904100.0,904100.0,118700.0,Friend,Mobile Money Airtime,4,Approved,False,0.0,0
894560,863900.0,994300.0,5,5,5.0,1.0,994300.0,994300.0,130400.0,Friend,Mobile Money Airtime,5,Approved,False,0.0,0
923985,950300.0,1093600.0,6,6,6.0,1.0,1093600.0,1093600.0,143300.0,Friend,Mobile Money Airtime,6,Approved,False,0.0,0
953510,1045300.0,1202800.0,7,7,7.0,1.0,1202800.0,1202800.0,157500.0,Friend,Mobile Money Airtime,7,Approved,False,0.0,0
919198,576000.0,645800.0,1,1,1.0,,645800.0,645800.0,69800.0,Friend,Mobile Money Airtime,1,Approved,False,18.0,0
937621,618200.0,693100.0,2,2,2.0,,693100.0,693100.0,74900.0,Friend,Mobile Money Airtime,2,Approved,False,0.0,0
962191,675000.0,756600.0,3,3,3.0,,756600.0,756600.0,81600.0,Friend,Mobile Money Airtime,3,Approved,False,0.0,0
520273,230000.0,,1,1,,1.0,,,,Friend,Mobile Money Airtime,1,Declined,False,412.0,0
663383,230000.0,,2,1,,1.0,,,,Friend,Mobile Money Airtime,1,Declined,False,412.0,0
665487,230000.0,,3,1,,1.0,,,,Friend,Mobile Money Airtime,1,Declined,False,412.0,0
849908,230000.0,,4,1,,1.0,,,,Friend,Mobile Money Airtime,1,Declined,False,412.0,0
938747,230000.0,264900.0,5,1,1.0,1.0,264900.0,264900.0,34900.0,Friend,Mobile Money Airtime,1,Approved,False,29.0,0
967798,253000.0,291300.0,6,2,2.0,1.0,291300.0,291300.0,38300.0,Friend,Mobile Money Airtime,2,Approved,False,12.0,0
981251,370000.0,426000.0,1,1,1.0,,426000.0,426000.0,56000.0,Friend,Beauty Fashion,1,Approved,False,0.0,0
933864,300000.0,354600.0,1,1,1.0,,354600.0,354600.0,54600.0,Friend,Hospitality,1,Approved,False,29.0,0
962138,330000.0,380000.0,2,2,2.0,,380000.0,380000.0,50000.0,Friend,Hospitality,2,Approved,False,0.0,0
579569,230000.0,,1,1,,0.0,,,,Facebook,Manufacturing,1,Expired,False,412.0,0
698939,230000.0,271400.0,2,1,1.0,0.0,271400.0,271400.0,41400.0,Facebook,Manufacturing,1,Approved,False,13.0,0
735058,200000.0,236000.0,3,2,2.0,0.0,236000.0,236000.0,36000.0,Facebook,Manufacturing,2,Approved,False,6.0,0
768004,250000.0,295500.0,4,3,3.0,0.0,295500.0,295500.0,45500.0,Facebook,Manufacturing,3,Approved,False,17.0,0
800781,306100.0,349300.0,5,4,4.0,0.0,349300.0,349300.0,43200.0,Facebook,Manufacturing,4,Approved,False,3.0,0
830953,300000.0,342400.0,6,5,5.0,0.0,342400.0,342400.0,42400.0,Facebook,Manufacturing,5,Approved,False,4.0,0
866705,250000.0,285300.0,7,6,6.0,0.0,285300.0,285300.0,35300.0,Facebook,Manufacturing,6,Approved,False,0.0,0
896024,300000.0,342400.0,8,7,7.0,0.0,342400.0,342400.0,42400.0,Facebook,Manufacturing,7,Approved,False,0.0,0
923977,448100.0,511500.0,9,8,8.0,0.0,511500.0,511500.0,63400.0,Facebook,Manufacturing,8,Approved,False,3.0,0
953386,350000.0,399500.0,10,9,9.0,0.0,399500.0,399500.0,49500.0,Facebook,Manufacturing,9,Approved,False,7.0,0
256990,216000.0,253200.0,1,1,1.0,2.0,253200.0,253200.0,37200.0,Google,Stationary Printing,1,Approved,False,0.0,0
301019,237600.0,278500.0,2,2,2.0,2.0,278500.0,278500.0,40900.0,Google,Stationary Printing,2,Approved,False,0.0,0
334244,261400.0,306300.0,3,3,3.0,2.0,306300.0,306300.0,44900.0,Google,Stationary Printing,3,Approved,False,0.0,0
365246,287500.0,337000.0,4,4,4.0,2.0,337000.0,337000.0,49500.0,Google,Stationary Printing,4,Approved,False,0.0,0
399046,280000.0,,5,5,,2.0,,,,Google,Stationary Printing,5,Cancelled,False,412.0,0
405954,280000.0,328200.0,6,5,5.0,2.0,328200.0,328200.0,48200.0,Google,Stationary Printing,5,Approved,False,0.0,0
442970,100000.0,117200.0,7,6,6.0,2.0,117200.0,117200.0,17200.0,Google,Stationary Printing,6,Approved,False,0.0,0
448298,300000.0,336400.0,8,7,7.0,2.0,336400.0,336400.0,36400.0,Google,Stationary Printing,7,Approved,False,0.0,0
484633,300000.0,336400.0,9,8,8.0,2.0,336400.0,336400.0,36400.0,Google,Stationary Printing,8,Approved,False,0.0,0
518588,426100.0,481200.0,10,9,9.0,2.0,481200.0,481200.0,55100.0,Google,Stationary Printing,9,Approved,False,0.0,0
550485,450000.0,508100.0,11,10,10.0,2.0,508100.0,508100.0,58100.0,Google,Stationary Printing,10,Approved,False,0.0,0
583786,100000.0,112900.0,12,11,11.0,2.0,112900.0,112900.0,12900.0,Google,Stationary Printing,11,Approved,False,0.0,0
621986,250000.0,282300.0,13,12,12.0,2.0,282300.0,282300.0,32300.0,Google,Stationary Printing,12,Approved,False,0.0,0
661750,350000.0,395200.0,14,13,13.0,2.0,395200.0,395200.0,45200.0,Google,Stationary Printing,13,Approved,False,0.0,0
692519,400000.0,451700.0,15,14,14.0,2.0,451700.0,451700.0,51700.0,Google,Stationary Printing,14,Approved,False,0.0,0
726763,350000.0,395200.0,16,15,15.0,2.0,395200.0,395200.0,45200.0,Google,Stationary Printing,15,Approved,False,0.0,0
759089,400000.0,451700.0,17,16,16.0,2.0,451700.0,451700.0,51700.0,Google,Stationary Printing,16,Approved,False,0.0,0
804373,500000.0,565600.0,18,17,17.0,2.0,565600.0,565600.0,65600.0,Google,Stationary Printing,17,Approved,False,0.0,0
849268,400000.0,452500.0,19,18,18.0,2.0,452500.0,452500.0,52500.0,Google,Stationary Printing,18,Approved,False,0.0,0
883556,400000.0,452500.0,20,19,19.0,2.0,452500.0,452500.0,52500.0,Google,Stationary Printing,19,Approved,False,0.0,0
923424,700000.0,791700.0,21,20,20.0,2.0,791700.0,791700.0,91700.0,Google,Stationary Printing,20,Approved,False,0.0,0
954198,100000.0,113100.0,22,21,21.0,2.0,113100.0,113100.0,13100.0,Google,Stationary Printing,21,Approved,False,0.0,0
959771,920000.0,1040100.0,23,22,22.0,2.0,1040100.0,1040100.0,120100.0,Google,Stationary Printing,22,Approved,False,0.0,0
256990,216000.0,253200.0,1,1,1.0,2.0,253200.0,253200.0,37200.0,Google,Stationary Printing,1,Approved,False,0.0,0
301019,237600.0,278500.0,2,2,2.0,2.0,278500.0,278500.0,40900.0,Google,Stationary Printing,2,Approved,False,0.0,0
334244,261400.0,306300.0,3,3,3.0,2.0,306300.0,306300.0,44900.0,Google,Stationary Printing,3,Approved,False,0.0,0
365246,287500.0,337000.0,4,4,4.0,2.0,337000.0,337000.0,49500.0,Google,Stationary Printing,4,Approved,False,0.0,0
399046,280000.0,,5,5,,2.0,,,,Google,Stationary Printing,5,Cancelled,False,412.0,0
405954,280000.0,328200.0,6,5,5.0,2.0,328200.0,328200.0,48200.0,Google,Stationary Printing,5,Approved,False,0.0,0
442970,100000.0,117200.0,7,6,6.0,2.0,117200.0,117200.0,17200.0,Google,Stationary Printing,6,Approved,False,0.0,0
448298,300000.0,336400.0,8,7,7.0,2.0,336400.0,336400.0,36400.0,Google,Stationary Printing,7,Approved,False,0.0,0
484633,300000.0,336400.0,9,8,8.0,2.0,336400.0,336400.0,36400.0,Google,Stationary Printing,8,Approved,False,0.0,0
518588,426100.0,481200.0,10,9,9.0,2.0,481200.0,481200.0,55100.0,Google,Stationary Printing,9,Approved,False,0.0,0
550485,450000.0,508100.0,11,10,10.0,2.0,508100.0,508100.0,58100.0,Google,Stationary Printing,10,Approved,False,0.0,0
583786,100000.0,112900.0,12,11,11.0,2.0,112900.0,112900.0,12900.0,Google,Stationary Printing,11,Approved,False,0.0,0
621986,250000.0,282300.0,13,12,12.0,2.0,282300.0,282300.0,32300.0,Google,Stationary Printing,12,Approved,False,0.0,0
661750,350000.0,395200.0,14,13,13.0,2.0,395200.0,395200.0,45200.0,Google,Stationary Printing,13,Approved,False,0.0,0
692519,400000.0,451700.0,15,14,14.0,2.0,451700.0,451700.0,51700.0,Google,Stationary Printing,14,Approved,False,0.0,0
726763,350000.0,395200.0,16,15,15.0,2.0,395200.0,395200.0,45200.0,Google,Stationary Printing,15,Approved,False,0.0,0
759089,400000.0,451700.0,17,16,16.0,2.0,451700.0,451700.0,51700.0,Google,Stationary Printing,16,Approved,False,0.0,0
804373,500000.0,565600.0,18,17,17.0,2.0,565600.0,565600.0,65600.0,Google,Stationary Printing,17,Approved,False,0.0,0
849268,400000.0,452500.0,19,18,18.0,2.0,452500.0,452500.0,52500.0,Google,Stationary Printing,18,Approved,False,0.0,0
883556,400000.0,452500.0,20,19,19.0,2.0,452500.0,452500.0,52500.0,Google,Stationary Printing,19,Approved,False,0.0,0
923424,700000.0,791700.0,21,20,20.0,2.0,791700.0,791700.0,91700.0,Google,Stationary Printing,20,Approved,False,0.0,0
954198,100000.0,113100.0,22,21,21.0,2.0,113100.0,113100.0,13100.0,Google,Stationary Printing,21,Approved,False,0.0,0
959771,920000.0,1040100.0,23,22,22.0,2.0,1040100.0,1040100.0,120100.0,Google,Stationary Printing,22,Approved,False,0.0,0
992142,700000.0,791700.0,24,23,23.0,2.0,791700.0,791700.0,91700.0,Google,Stationary Printing,23,Approved,False,0.0,0
614150,260000.0,290900.0,1,1,1.0,3.0,290900.0,290900.0,30900.0,Friend,Phones Electronics,1,Approved,False,22.0,0
643232,280000.0,313300.0,2,2,2.0,3.0,313300.0,313300.0,33300.0,Friend,Phones Electronics,2,Approved,False,0.0,0
669443,300000.0,335700.0,3,3,3.0,3.0,335700.0,335700.0,35700.0,Friend,Phones Electronics,3,Approved,False,7.0,0
703165,270000.0,302100.0,4,4,4.0,3.0,302100.0,302100.0,32100.0,Friend,Phones Electronics,4,Approved,False,0.0,0
733096,280000.0,313300.0,5,5,5.0,3.0,313300.0,313300.0,33300.0,Friend,Phones Electronics,5,Approved,False,0.0,0
758781,300000.0,335700.0,6,6,6.0,3.0,335700.0,335700.0,35700.0,Friend,Phones Electronics,6,Approved,False,0.0,0
788914,300000.0,336300.0,7,7,7.0,3.0,336300.0,336300.0,36300.0,Friend,Phones Electronics,7,Approved,False,0.0,0
818520,300000.0,336300.0,8,8,8.0,3.0,336300.0,336300.0,36300.0,Friend,Phones Electronics,8,Approved,False,0.0,0
849393,300000.0,336300.0,9,9,9.0,3.0,336300.0,336300.0,36300.0,Friend,Phones Electronics,9,Approved,False,0.0,0
879540,320000.0,358700.0,10,10,10.0,3.0,358700.0,358700.0,38700.0,Friend,Phones Electronics,10,Approved,False,0.0,0
906441,380000.0,426000.0,11,11,11.0,3.0,426000.0,426000.0,46000.0,Friend,Phones Electronics,11,Approved,False,0.0,0
936188,400000.0,460600.0,12,12,12.0,3.0,460600.0,460600.0,60600.0,Friend,Phones Electronics,12,Approved,False,0.0,0
963176,400000.0,460600.0,13,13,13.0,3.0,460600.0,460600.0,60600.0,Friend,Phones Electronics,13,Approved,False,0.0,0
924988,276000.0,317800.0,1,1,1.0,,317800.0,317800.0,41800.0,Friend,Food Staple Goods,1,Approved,False,29.0,0
955577,303600.0,349600.0,2,2,2.0,,349600.0,349600.0,46000.0,Friend,Food Staple Goods,2,Approved,False,16.0,0
732881,230000.0,257400.0,1,1,1.0,3.0,257400.0,257400.0,27400.0,Radio / TV / Newspaper,Beauty Fashion,1,Approved,False,0.0,0
767918,253000.0,283600.0,2,2,2.0,3.0,283600.0,283600.0,30600.0,Radio / TV / Newspaper,Beauty Fashion,2,Approved,False,0.0,0
790412,274000.0,307100.0,3,3,3.0,3.0,307100.0,307100.0,33100.0,Radio / TV / Newspaper,Beauty Fashion,3,Approved,False,0.0,0
825191,301400.0,337800.0,4,4,4.0,3.0,337800.0,337800.0,36400.0,Radio / TV / Newspaper,Beauty Fashion,4,Approved,False,0.0,0
858304,331500.0,371600.0,5,5,5.0,3.0,371600.0,371600.0,40100.0,Radio / TV / Newspaper,Beauty Fashion,5,Approved,False,0.0,0
901388,364600.0,408800.0,6,6,6.0,3.0,0.0,408800.0,44200.0,Radio / TV / Newspaper,Beauty Fashion,6,Approved,True,0.0,1
933331,401100.0,457800.0,7,7,7.0,3.0,457800.0,457800.0,56700.0,Radio / TV / Newspaper,Beauty Fashion,7,Approved,False,0.0,0
965152,401100.0,457800.0,8,8,8.0,3.0,457800.0,457800.0,56700.0,Radio / TV / Newspaper,Beauty Fashion,8,Approved,False,7.0,0
730897,200000.0,223800.0,1,1,1.0,1.0,223800.0,223800.0,23800.0,Friend,Mobile Money Airtime,1,Approved,False,26.0,0
759110,219500.0,245700.0,2,2,2.0,1.0,245700.0,245700.0,26200.0,Friend,Mobile Money Airtime,2,Approved,False,0.0,0
788559,241400.0,270600.0,3,3,3.0,1.0,270600.0,270600.0,29200.0,Friend,Mobile Money Airtime,3,Approved,False,0.0,0
935454,265500.0,297700.0,4,4,4.0,1.0,297700.0,297700.0,32200.0,Friend,Mobile Money Airtime,4,Approved,False,0.0,0
971001,292000.0,327400.0,5,5,5.0,1.0,327400.0,327400.0,35400.0,Friend,Mobile Money Airtime,5,Approved,False,0.0,0
705749,300000.0,335700.0,1,1,1.0,1.0,335700.0,335700.0,35700.0,Friend,Beauty Fashion,1,Approved,False,0.0,0
734836,330000.0,369300.0,2,2,2.0,1.0,369300.0,369300.0,39300.0,Friend,Beauty Fashion,2,Approved,False,0.0,0
768746,363000.0,406900.0,3,3,3.0,1.0,406900.0,406900.0,43900.0,Friend,Beauty Fashion,3,Approved,False,0.0,0
799639,390000.0,437200.0,4,4,4.0,1.0,437200.0,437200.0,47200.0,Friend,Beauty Fashion,4,Approved,False,0.0,0
835271,400000.0,448400.0,5,5,5.0,1.0,448400.0,448400.0,48400.0,Friend,Beauty Fashion,5,Approved,False,0.0,0
869012,480000.0,538200.0,6,6,6.0,1.0,538200.0,538200.0,58200.0,Friend,Beauty Fashion,6,Approved,False,0.0,0
899511,530000.0,594200.0,7,7,7.0,1.0,594200.0,594200.0,64200.0,Friend,Beauty Fashion,7,Approved,False,0.0,0
927878,584500.0,655200.0,8,8,8.0,1.0,655200.0,655200.0,70700.0,Friend,Beauty Fashion,8,Approved,False,0.0,0
958804,640000.0,717500.0,9,9,9.0,1.0,717500.0,717500.0,77500.0,Friend,Beauty Fashion,9,Approved,False,0.0,0
440182,345600.0,384100.0,1,1,1.0,3.0,384100.0,384100.0,38500.0,Friend,Mobile Money Airtime,1,Approved,False,29.0,0
506398,380200.0,422500.0,2,2,2.0,3.0,422500.0,422500.0,42300.0,Friend,Mobile Money Airtime,2,Approved,False,0.0,0
534257,418200.0,468000.0,3,3,3.0,3.0,468000.0,468000.0,49800.0,Friend,Mobile Money Airtime,3,Approved,False,0.0,0
565140,460000.0,514800.0,4,4,4.0,3.0,514800.0,514800.0,54800.0,Friend,Mobile Money Airtime,4,Approved,False,0.0,0
594041,506000.0,566200.0,5,5,5.0,3.0,566200.0,566200.0,60200.0,Friend,Mobile Money Airtime,5,Approved,False,0.0,0
625231,556600.0,622900.0,6,6,6.0,3.0,622900.0,622900.0,66300.0,Friend,Mobile Money Airtime,6,Approved,False,0.0,0
658542,612300.0,685200.0,7,7,7.0,3.0,685200.0,685200.0,72900.0,Friend,Mobile Money Airtime,7,Approved,False,0.0,0
689602,673500.0,753700.0,8,8,8.0,3.0,753700.0,753700.0,80200.0,Friend,Mobile Money Airtime,8,Approved,False,0.0,0
719595,740800.0,828800.0,9,9,9.0,3.0,828800.0,828800.0,88000.0,Friend,Mobile Money Airtime,9,Approved,False,0.0,0
752543,814900.0,911500.0,10,10,10.0,3.0,911500.0,911500.0,96600.0,Friend,Mobile Money Airtime,10,Approved,False,0.0,0
793018,855600.0,958700.0,11,11,11.0,3.0,958700.0,958700.0,103100.0,Friend,Mobile Money Airtime,11,Approved,False,0.0,0
827234,898400.0,1006500.0,12,12,12.0,3.0,1006500.0,1006500.0,108100.0,Friend,Mobile Money Airtime,12,Approved,False,0.0,0
860346,943300.0,1056800.0,13,13,13.0,3.0,1056800.0,1056800.0,113500.0,Friend,Mobile Money Airtime,13,Approved,False,0.0,0
908060,1000000.0,1120300.0,14,14,14.0,3.0,1120300.0,1120300.0,120300.0,Friend,Mobile Money Airtime,14,Approved,False,0.0,0
939580,1100000.0,1243300.0,15,15,15.0,3.0,1243300.0,1243300.0,143300.0,Friend,Mobile Money Airtime,15,Approved,False,0.0,0
974224,1210000.0,1367500.0,16,16,16.0,3.0,1367500.0,1367500.0,157500.0,Friend,Mobile Money Airtime,16,Approved,False,0.0,0
553017,200000.0,223800.0,1,1,1.0,0.0,223800.0,223800.0,23800.0,Other,Food Staple Goods,1,Approved,False,27.0,0
582883,246100.0,275400.0,2,2,2.0,0.0,275400.0,275400.0,29300.0,Other,Food Staple Goods,2,Approved,False,11.0,0
616603,305100.0,341400.0,3,3,3.0,0.0,341400.0,341400.0,36300.0,Other,Food Staple Goods,3,Approved,False,22.0,0
648721,376700.0,421600.0,4,4,4.0,0.0,421600.0,421600.0,44900.0,Other,Food Staple Goods,4,Approved,False,2.0,0
681327,414400.0,463700.0,5,5,5.0,0.0,463700.0,463700.0,49300.0,Other,Food Staple Goods,5,Approved,False,0.0,0
711663,414400.0,463700.0,6,6,6.0,0.0,463700.0,463700.0,49300.0,Other,Food Staple Goods,6,Approved,False,17.0,0
745755,455800.0,510100.0,7,7,7.0,0.0,510100.0,510100.0,54300.0,Other,Food Staple Goods,7,Approved,False,8.0,0
778156,455800.0,511000.0,8,8,8.0,0.0,511000.0,511000.0,55200.0,Other,Food Staple Goods,8,Approved,False,8.0,0
812294,501400.0,562100.0,9,9,9.0,0.0,562100.0,562100.0,60700.0,Other,Food Staple Goods,9,Approved,False,10.0,0
844892,551500.0,618300.0,10,10,10.0,0.0,618300.0,618300.0,66800.0,Other,Food Staple Goods,10,Approved,False,18.0,0
